visitor_id,item_id,how_many_view_for_item,how_many_view_for_item_in_last_week
11836,144587,1,1
11839,309863,1,1
11986,386102,2,2
12009,375932,1,1
12009,400321,1,1
12017,21853,7,7
12046,205663,0,0
12134,180182,0,0
12148,193554,2,2
12148,157438,3,3
12148,428040,2,2
12153,131873,3,3
12161,407078,0,0
12161,229984,1,1
12266,419937,2,2
12272,125734,2,2
12292,5470,1,1
12295,86452,3,3
12305,293279,1,1
12312,310944,1,1
12356,145721,3,2
12379,353628,2,2
12416,398926,2,2
12422,17478,1,1
12446,286859,1,1
12506,232085,2,2
12519,250988,0,0
12523,18553,1,1
12529,444296,1,1
12560,272976,1,1
12579,47882,2,2
12579,317819,8,8
12579,201128,3,3
12579,135856,1,1
12579,111830,0,0
12579,227869,5,5
12579,463493,1,1
12579,33912,2,2
12579,284463,5,5
12579,432011,2,2
12579,218126,2,2
12579,226567,2,2
12579,225261,1,1
12579,423269,2,2
12579,217558,2,2
12579,13951,1,1
12579,187119,0,0
12579,362972,1,1
12579,2543,2,2
12579,213834,3,3
12579,795,1,1
12579,440128,2,2
12638,403995,3,3
12722,193908,1,1
12809,37254,1,1
12809,17478,1,1
12982,278558,1,1
12982,412207,5,5
13045,161623,1,1
13123,209184,1,1
13123,294438,3,3
13136,44402,1,1
13136,181146,2,2
13147,135498,3,3
13151,265966,1,1
13151,179535,1,1
13151,339808,0,0
13240,399192,1,1
13271,262999,0,0
13410,231243,8,8
13455,381766,2,2
13455,48030,4,4
13467,251868,0,0
13486,78729,3,3
13611,15564,1,1
13655,257342,2,2
13668,146797,0,0
13668,414410,1,1
13668,135900,3,3
13668,200242,7,7
13694,197270,2,2
13749,104858,1,1
13764,8096,3,1
13787,261351,1,1
13833,60159,3,3
13833,104540,2,2
13833,182131,2,2
13916,338427,6,6
13957,277742,1,1
13997,150547,2,2
14114,309821,0,0
14114,19583,1,1
14198,5470,2,2
14324,16599,2,2
14327,23486,0,0
14362,463297,2,2
14495,451835,1,1
14505,311795,1,1
14540,171936,2,2
14540,116513,0,0
14540,344622,2,2
14540,109604,0,0
14545,160343,9,9
14545,288161,3,3
14559,262051,2,2
14618,157770,0,0
14647,235047,1,1
14673,461686,3,3
14682,13092,1,1
14704,316472,1,1
14708,340902,0,0
14710,400255,1,1
14772,71742,0,0
14786,394349,4,4
14796,284663,2,2
14802,386947,1,1
14864,286268,0,0
14864,228314,0,0
14864,245449,0,0
14885,375332,1,1
14903,206241,3,3
14926,140296,1,1
14966,422583,2,2
15046,359404,0,0
15046,72685,0,0
15124,323079,1,1
15124,152198,0,0
15124,176363,1,1
15124,221935,0,0
15147,427357,1,1
15173,314062,2,2
15190,33245,1,1
15239,245167,2,2
15239,192043,3,3
15239,459319,1,1
15239,461686,3,2
15239,195758,3,3
15239,372664,0,0
15239,426588,0,0
15239,171878,4,4
15239,445061,1,1
15299,466008,4,4
15316,390093,0,0
15318,344850,1,1
15388,191555,2,2
15460,94952,0,0
15499,408189,1,1
15500,461538,0,0
15525,2455,0,0
15529,442172,4,3
15613,237422,2,2
15615,66243,1,1
15653,371985,6,6
15677,320130,1,1
15685,151061,7,7
15711,332005,1,1
15723,223355,1,1
15724,340375,0,0
15819,293397,1,1
15844,187029,3,3
15852,182665,1,1
15956,422679,2,2
16065,280375,0,0
16103,398345,7,7
16158,136860,3,3
16215,167127,1,1
16215,447661,0,0
16215,168527,1,1
16229,302478,3,3
16336,76350,2,2
16357,332870,3,3
16391,89452,3,3
16424,137189,1,1
16424,423043,2,2
16424,306836,1,1
16424,392569,2,2
16424,69407,1,1
16424,212564,0,0
16424,355393,1,1
16506,283896,2,2
16506,433796,0,0
16506,363486,0,0
16628,428628,0,0
16655,308438,2,2
16655,224481,1,1
16722,408737,1,1
16725,111530,2,2
16766,273822,1,1
16769,418922,1,1
16887,244571,5,5
16900,240639,5,5
16900,352115,2,2
16925,337520,2,2
16930,113535,2,2
16945,383001,1,1
16975,413241,1,1
17005,328486,0,0
17028,258155,3,3
17067,354714,5,5
17069,162641,0,0
17082,32267,1,1
17126,229544,1,1
17136,23036,1,1
17165,107020,3,3
17214,392074,1,1
17234,202534,1,1
17241,156571,0,0
17281,184786,10,10
17362,465522,0,0
17476,437441,1,1
17476,4553,2,2
17476,37403,1,1
17476,47779,4,4
17476,84653,1,1
17476,430928,2,2
17476,137038,3,3
17476,382130,0,0
17476,457705,1,1
17503,18058,4,4
17534,29825,1,1
17535,351307,3,3
17569,229749,1,1
17591,224182,6,6
17591,458140,1,1
17629,230397,2,2
17629,192875,1,1
17633,105436,2,2
17676,295184,1,1
17676,174947,1,1
17676,231482,1,1
17676,119267,1,1
17676,63543,2,2
17676,204790,1,1
17676,188051,3,3
17676,441852,2,2
17676,196659,1,1
17676,278943,1,1
17676,25655,0,0
17676,400568,2,2
17676,270383,3,3
17676,546,2,2
17676,125399,0,0
17676,459546,1,1
17676,386324,1,1
17676,125799,1,1
17676,267660,0,0
17676,245342,3,3
17676,181550,0,0
17676,197498,1,1
17676,150797,1,1
17676,298056,1,1
17676,319900,0,0
17676,190732,2,2
17676,12905,1,1
17676,219512,2,2
17676,176363,1,1
17676,221329,2,2
17676,69917,1,1
17676,237952,1,1
17676,37930,1,1
17676,399796,1,1
17676,187119,1,1
17676,114735,1,1
17676,171031,1,1
17676,270183,1,1
17676,341701,2,2
17676,164872,1,1
17676,236302,1,1
17676,869,3,3
17676,253024,1,1
17676,55709,5,5
17676,95166,1,1
17676,376358,1,1
17676,158666,2,2
17676,443931,1,1
17676,436217,1,1
17746,440912,1,1
17752,266900,2,2
17784,332065,1,1
17800,387780,1,1
17857,152100,2,2
17893,374823,2,2
17924,317827,1,1
17928,24734,2,2
17943,48997,1,1
17962,108936,1,1
17962,454666,1,1
17970,415562,2,2
17976,112782,2,2
17979,357531,2,2
18029,352705,0,0
18032,277504,1,1
18060,56100,7,7
18092,179834,3,3
18107,108452,4,4
18123,335275,0,0
18168,283971,6,6
18195,398579,2,2
18197,308025,3,3
18197,317376,5,1
18224,303229,2,2
18263,51086,1,1
18266,340315,2,2
18288,47415,1,1
18332,35602,1,1
18405,37029,0,0
18424,222697,7,7
18424,77640,1,1
18573,44172,1,1
18573,315911,2,2
18573,416017,3,3
18606,211418,2,2
18614,289096,1,1
18632,466263,0,0
18660,265453,0,0
18660,138543,1,1
18660,392392,1,1
18688,338407,1,1
18771,207430,1,1
18787,341482,2,2
18878,268911,1,1
18883,111122,1,1
18883,299038,10,10
18883,435557,1,1
18911,35477,1,1
18934,119538,5,2
18977,125751,1,1
18992,76878,0,0
19052,273104,3,3
19167,458945,1,1
19184,448690,4,4
19184,380971,1,1
19192,2657,1,1
19206,288340,1,1
19224,411886,6,1
19232,215992,0,0
19233,188177,0,0
19268,244819,1,1
19271,227211,0,0
19322,444190,1,1
19322,36471,1,1
19322,273973,2,2
19322,350045,2,2
19369,193272,1,1
19389,358348,1,1
19500,355994,0,0
19506,166553,8,8
19589,279457,0,0
19589,379607,0,0
19589,92091,0,0
19603,433543,4,4
19603,308458,3,3
19620,133363,1,1
19641,17478,1,1
19682,46577,0,0
19780,249829,2,2
19832,405290,4,4
19849,438484,0,0
19967,242245,2,2
20018,421137,2,2
20052,403738,2,2
20058,82896,1,1
20103,228166,2,2
20158,149382,4,4
20167,136815,4,4
20178,418744,0,0
20283,48030,1,1
20296,46655,1,1
20335,296749,11,11
20335,82340,7,7
20358,193518,2,2
20362,355752,1,1
20375,55561,0,0
20389,297858,3,3
20454,438412,1,1
20460,100282,1,1
20462,298255,1,1
20549,91888,0,0
20549,446440,1,1
20570,424711,0,0
20582,170262,2,2
20666,38522,1,1
20761,265419,0,0
20761,96375,0,0
20761,453646,0,0
20787,318294,2,2
20811,202825,1,1
20815,396697,2,2
20817,164127,3,3
20832,330819,0,0
20839,23762,1,1
20854,218557,0,0
20854,23467,0,0
20870,113535,2,2
20889,317691,1,1
20912,37254,1,1
20932,111759,0,0
20984,84595,5,5
20986,121107,1,1
20986,134108,2,2
21048,462461,2,2
21070,384470,4,3
21079,60323,1,1
21189,417432,2,2
21233,46644,2,2
21283,116675,1,1
21295,51408,2,2
21302,171814,3,3
21311,89939,1,1
21460,169720,0,0
21483,216019,1,1
21492,111097,0,0
21525,60120,2,2
21574,165789,8,8
21588,391728,3,3
21593,240470,1,1
21601,296933,5,5
21604,240170,0,0
21610,155485,2,2
21610,436004,4,4
21610,44986,1,1
21610,122412,2,2
21610,320494,1,1
21650,377216,4,4
21673,459953,1,1
21685,141454,0,0
21712,112340,1,1
21712,349470,1,1
21712,55239,1,1
21712,80085,3,3
21712,395273,2,2
21712,126968,3,3
21712,363783,2,2
21712,372617,2,2
21712,357779,1,1
21712,153874,3,3
21712,268006,2,2
21712,417641,1,1
21712,319773,2,2
21712,16344,3,3
21724,161610,1,1
21724,118752,1,1
21753,4538,1,1
21775,388097,0,0
21780,134330,2,2
21800,305276,2,2
21866,239480,0,0
21866,173704,0,0
21902,91873,1,1
21976,343468,7,4
22011,324750,2,2
22035,342530,1,1
22038,332724,4,4
22079,106786,2,1
22084,445258,1,1
22084,32581,1,1
22084,165058,1,1
22090,205566,2,2
22161,398508,1,1
22181,22926,0,0
22202,63651,0,0
22276,427360,8,8
22474,158666,2,2
22596,299915,1,1
22606,375492,2,2
22651,86710,0,0
22665,128296,0,0
22666,54773,2,2
22735,380212,1,1
22764,60159,1,1
22771,440402,3,3
22777,415267,3,3
22778,153778,3,3
22944,328901,3,3
22970,76971,1,1
22990,81916,1,1
22990,322551,0,0
22990,203569,1,1
22990,76146,2,2
22990,32944,1,1
22990,425963,1,1
22990,287796,0,0
22990,58905,2,2
22990,455523,3,3
22998,219839,6,6
23005,312781,4,4
23005,353910,3,3
23005,230842,2,2
23005,222604,3,3
23076,149582,1,1
23076,301278,3,3
23076,434289,6,1
23076,140934,1,1
23206,138931,7,1
23401,33182,1,1
23460,93144,1,1
23497,55955,3,3
23541,192915,1,1
23569,444712,1,1
23645,250369,1,1
23668,374092,0,0
23730,113535,1,1
23747,295537,1,1
23757,240170,1,1
23765,166138,4,1
23775,343502,6,6
23777,438484,15,15
23823,196658,0,0
23823,315309,0,0
23823,147141,0,0
23837,211299,0,0
23840,279457,0,0
23843,141056,2,2
23852,66480,1,1
23861,356029,2,2
23876,275625,0,0
23887,112009,5,5
23887,449506,1,1
23964,32227,0,0
24067,455793,1,1
24102,354881,2,2
24129,49046,0,0
24129,15312,2,2
24142,150215,1,1
24166,175086,1,1
24373,464649,3,3
24409,461765,1,1
24409,380302,0,0
24446,48179,0,0
24446,436344,1,1
24504,292869,1,1
24583,346275,0,0
24611,260481,1,1
24644,38122,8,8
24644,23109,9,9
24662,195234,1,1
24688,216768,7,7
24708,400960,1,1
24722,65992,1,1
24722,172532,1,1
24722,411198,4,4
24757,332980,0,0
24757,145109,2,1
24757,408673,0,0
24787,445676,1,1
24838,452160,4,2
24840,371204,1,1
24840,409804,2,2
24840,46232,9,6
24840,152395,0,0
24840,14520,0,0
24840,322501,3,3
24907,111122,0,0
24943,303870,2,2
24967,104472,2,2
25008,140527,0,0
25040,254196,1,1
25070,46514,1,1
25081,74296,1,1
25094,345361,1,1
25139,464998,4,4
25156,415331,3,3
25156,414712,3,3
25156,446522,3,3
25294,98078,2,2
25367,390287,1,1
25481,299222,2,1
25634,224614,3,3
25728,43330,2,2
25784,280342,4,4
25809,222888,5,5
25890,249831,5,1
25896,395407,0,0
25896,105315,3,3
25922,407506,1,1
25922,424265,2,2
25922,358819,2,2
25985,379493,1,1
26007,164276,2,1
26032,19912,2,2
26067,179856,1,1
26077,322666,1,1
26189,429846,4,4
26191,271801,0,0
26196,320130,1,1
26196,304839,1,1
26222,350736,2,2
26276,392603,2,2
26296,286338,1,1
26296,212995,1,1
26296,420555,2,2
26296,375822,1,1
26296,337060,1,1
26296,312414,1,1
26296,243355,1,1
26296,194498,0,0
26296,454793,1,1
26296,386899,1,1
26296,177728,1,1
26296,294137,0,0
26296,265038,2,2
26315,157680,0,0
26377,210408,0,0
26429,306482,1,1
26493,46938,6,6
26502,318941,1,1
26524,422333,3,3
26524,257965,0,0
26533,193408,1,1
26533,60479,2,2
26533,148338,1,1
26543,215503,1,1
26608,80754,0,0
26626,459936,4,4
26626,359910,2,2
26626,5411,2,2
26628,145403,1,1
26759,104560,1,1
26761,83570,6,6
26809,1956,2,2
26820,12720,1,1
26825,190264,1,1
26867,322171,2,2
26872,357054,2,2
26906,217605,1,1
26912,51710,1,1
26912,92682,2,2
26923,26634,3,3
26954,98728,1,1
26954,202451,2,2
26998,335872,2,2
27057,238420,1,1
27111,413973,0,0
27111,21838,0,0
27143,464760,4,4
27197,209752,2,2
27288,239736,2,2
27326,178108,2,2
27360,445351,7,7
27418,445208,1,1
27458,192472,0,0
27466,400873,0,0
27490,304314,1,1
27527,51360,2,2
27566,92668,0,0
27569,106575,1,1
27695,369112,11,11
27695,456056,3,3
27704,266900,9,9
27744,281912,0,0
27747,461686,3,3
27747,32581,1,1
27747,218794,1,1
27835,160473,1,1
27851,23438,3,3
27851,366618,1,1
27851,63957,0,0
27851,293799,0,0
27889,279905,0,0
27910,284045,1,1
27941,436056,4,4
27945,276245,0,0
28012,457270,1,1
28024,403581,5,5
28035,264454,1,1
28035,459697,1,1
28035,111306,1,1
28035,461961,1,1
28035,66405,2,2
28035,429846,1,1
28085,201167,1,1
28113,407343,0,0
28155,365673,2,2
28158,71625,5,5
28161,166100,3,3
28238,198921,4,4
28294,183087,1,1
28308,434652,3,3
28359,222888,0,0
28387,372002,1,1
28436,346268,4,4
28448,216293,2,2
28467,106359,0,0
28480,182986,1,1
28524,460188,1,1
28669,262051,1,1
28742,226089,1,1
28742,158666,2,1
28769,263258,1,1
28791,92198,2,2
28797,133224,2,2
28850,97073,4,1
28896,414044,2,2
28925,348981,1,1
28925,321706,1,1
28925,171255,1,1
28995,291559,2,2
28995,188080,1,1
29110,161431,1,1
29136,387562,4,4
29149,343861,0,0
29149,355994,1,1
29162,45931,2,2
29206,200799,0,0
29309,69533,6,5
29314,432277,2,2
29317,392770,0,0
29346,390591,0,0
29383,402532,1,1
29392,250643,0,0
29474,462203,1,1
29482,373384,0,0
29483,286645,5,5
29522,436059,2,2
29529,136611,5,5
29531,92682,3,3
29570,198934,0,0
29640,218746,1,1
29653,103236,1,1
29697,152655,1,1
29730,41422,2,2
29737,424421,1,1
29744,170943,1,1
29744,79056,3,1
29744,264689,2,1
29757,432152,2,2
29757,243980,3,3
29757,268889,4,4
29757,152249,1,1
29758,103973,5,2
29758,41427,3,3
29758,383767,1,1
29766,396042,0,0
29766,234857,1,1
29802,393809,2,2
29802,203231,1,1
29802,390199,2,2
29835,38239,1,1
29921,335373,8,8
29966,281643,6,2
30034,124272,1,1
30040,236233,0,0
30087,379168,0,0
30087,448494,3,3
30168,461686,0,0
30173,385116,1,1
30323,325852,1,1
30325,295766,3,1
30344,291394,1,1
30374,107503,3,3
30391,72916,0,0
30421,316753,0,0
30438,260217,2,2
30473,260821,1,1
30537,337611,1,1
30571,441852,0,0
30620,274028,2,2
30625,298056,2,2
30628,439650,1,1
30628,308743,2,2
30628,238443,1,1
30633,138931,9,9
30649,429607,1,1
30649,175246,1,1
30649,174878,1,1
30708,366629,1,1
30786,345409,0,0
30786,298721,1,1
30863,85337,0,0
30863,131026,0,0
30863,169194,2,2
30863,293274,0,0
30863,80550,0,0
30873,235047,1,1
30903,172606,5,5
30903,182498,5,1
30903,239058,7,7
30903,136014,6,6
30903,72651,4,4
30903,131118,6,6
30903,377868,5,5
30908,243634,2,2
30959,108486,2,2
31029,258973,8,8
31093,143416,2,2
31149,198903,3,3
31174,150857,3,3
31174,415884,2,2
31174,340982,1,1
31174,182424,2,2
31174,306647,7,7
31174,146471,3,3
31217,453432,0,0
31217,81453,2,2
31225,127969,0,0
31236,366186,1,1
31299,285412,2,2
31311,241060,1,1
31314,29656,12,12
31352,280848,3,3
31352,117730,4,4
31359,14183,2,2
31397,359820,4,4
31397,377886,0,0
31409,65273,0,0
31421,320130,1,1
31423,28686,1,1
31518,227976,0,0
31519,270142,0,0
31533,340749,3,3
31544,242245,1,1
31557,72252,0,0
31613,262813,5,5
31645,257978,1,1
31645,85581,0,0
31645,32313,2,2
31645,270383,1,1
31645,239086,1,1
31645,164324,2,2
31645,113615,1,1
31645,436004,2,2
31645,179526,0,0
31645,445447,2,2
31677,248455,1,1
31684,83743,2,2
31741,10457,0,0
31741,50734,0,0
31761,257040,1,1
31762,423672,0,0
31798,99296,1,1
31798,25688,3,3
31843,187569,1,1
31869,265625,1,1
31876,227976,2,2
31929,162838,2,2
31929,227790,2,2
31933,73313,1,1
31936,166007,4,4
31953,159822,3,3
32037,255902,8,8
32108,35227,0,0
32119,154485,2,2
32160,80858,3,3
32160,119737,1,1
32241,36876,0,0
32358,252344,2,2
32358,546,7,7
32378,269611,1,1
32378,350397,5,5
32413,385261,1,1
32427,429607,0,0
32427,308866,1,1
32427,92600,0,0
32427,45089,2,1
32427,92670,0,0
32427,412656,2,1
32427,194940,2,1
32427,17655,7,2
32468,444741,2,2
32503,450796,1,1
32528,99909,1,1
32528,285384,1,1
32596,430113,3,3
32754,9387,1,1
32768,321089,4,4
32775,18573,4,4
32787,88325,0,0
32787,133472,2,2
32855,56782,0,0
32857,396853,5,5
32861,91888,1,1
32895,37554,8,8
32904,102434,3,1
32917,284620,0,0
32920,452,1,1
32920,240262,5,5
32920,98547,9,9
32920,257551,4,4
33006,7943,3,3
33018,409804,1,1
33047,186879,0,0
33078,302676,1,1
33084,183313,0,0
33196,31239,2,2
33196,245474,2,2
33196,30336,0,0
33308,27221,1,1
33350,154476,4,4
33353,168963,3,3
33405,260220,1,1
33482,58746,3,3
33483,396210,0,0
33541,107972,1,1
33541,32404,1,1
33541,288340,1,1
33571,58638,1,1
33581,382130,5,5
33581,131270,5,5
33604,40870,106,106
33604,272527,0,0
33608,279436,1,1
33625,39677,2,2
33674,311133,1,1
33674,378754,0,0
33674,34861,1,1
33679,335938,1,1
33682,305188,2,2
33682,132347,3,3
33682,236512,1,1
33682,460570,2,2
33717,236158,1,1
33804,401071,3,3
33872,165337,3,3
33872,235971,1,1
33872,194169,0,0
33872,362202,0,0
33877,457970,1,1
33877,89901,2,2
33889,372941,6,2
33895,244534,1,1
33940,56302,3,3
33946,325772,2,2
33946,247785,4,4
34059,5379,3,3
34150,139296,1,1
34157,157375,1,1
34164,284973,1,1
34164,263767,1,1
34200,55955,2,1
